name,format,overs,runs_conceded,wickets,matches
Blessing Muzarbani,T20,321,3106,107,91
Ashok Sharma,T20,255,2308,105,76
Aman Rao,T20,1,14,0,48
Nishant Sindhu,T20,0,0,0,4
Ajay Mandal,T20,51,502,13,24
Noor Ahmad,T20,227,2176,65,65
Jack Edwards,T20,67,682,20,21
Allah Ghazanfar,T20,211,1880,57,60
Arshdeep Singh,T20,538,5253,191,158
Nuwan Thushara,T20,27,322,4,9
Ryan Rickelton,T20,0,0,0,85
Smaran Ravichandra,T20,0,0,0,35
Sameer Rizvi,T20,0,0,0,51
Salil Arora,T20,0,0,0,84
Naman Dhir,T20,1,12,0,38
Hardik Pandya,T20,205,2275,60,84
Sikandar Raza,T20,67,702,14,34
Chama Milind,T20,50,442,16,14
Jasprit Bumrah,T20,262,2264,102,71
Trent Boult,T20,249,2488,59,67
Manav Suthar,T20,81,767,26,24
Adil Rashid,T20,89,809,25,27
Matheesha Pathirana,T20,223,2144,63,64
Shimron Hetmyer,T20,0,0,0,31
Suyash Sharma,T20,323,3063,101,100
Shubman Gill,T20,1,21,0,104
Rohit Sharma,T20,9,126,2,102
Jos Buttler,T20,0,0,0,95
Dewald Brevis,T20,13,144,6,66
David Miller,T20,0,0,0,13
Rahul Tewatia,T20,51,534,12,21
Mitchell Santner,T20,165,1504,31,50
Mohammed Siraj,T20,416,3744,129,115
Prasidh Krishna,T20,233,2329,62,65
Sai Kishore,T20,163,1682,32,54
Jacob Duffy,T20,143,1367,50,43
Phil Salt,T20,0,0,0,52
Nicholas Pooran,T20,0,0,0,18
Marcus Stoinis,T20,48,538,11,31
Nathan Ellis,T20,104,1006,30,36
Ajinkya Rahane,T20,0,0,0,88
Nitish Rana,T20,86,870,16,104
Jayant Yadav,T20,15,167,6,7
Virat Singh,T20,0,0,0,106
Tanmay Agarwal,T20,0,0,0,11
Vipraj Nigam,T20,205,1792,77,68
Kuldeep Yadav,T20,358,3359,155,103
Himmat Singh,T20,0,0,0,73
Tom Banton,T20,0,0,0,3
Lockie Ferguson,T20,234,2145,78,66
Rasikh Dar,T20,108,1165,21,31
Akaashdeep,T20,8,86,3,3
Riyan Parag,T20,214,2071,66,87
Robin Minz,T20,0,0,0,1
Mitchell Owen,T20,12,140,1,9
Shahbaz Ahmed,T20,286,2689,68,114
Deepak Chahar,T20,103,1169,24,35
Gurnoor Singh Brar,T20,2,16,0,1
Eshan Malinga,T20,69,753,22,24
Yudhvir Singh Charak,T20,4,56,1,1
Axar Patel,T20,214,1923,64,68
Mukhtar Hussain,T20,28,276,8,8
Prithvi Raj Yarra,T20,28,312,2,8
Venkatesh Iyer,T20,75,803,5,75
Ravi Singh,T20,0,0,0,5
Digvesh Singh Rathi,T20,78,818,16,22
Vyshak Vijaykumar,T20,5,74,0,2
Rashid Khan,T20,125,1182,45,39
Adam Milne,T20,84,810,21,23
Harshit Rana,T20,190,2290,31,62
Tim Seifert,T20,0,0,0,60
Ben Dwarshuis,T20,15,140,2,6
Sandeep Sharma,T20,60,611,13,16
Rajat Patidar,T20,1,9,0,90
Abhishek Porel,T20,0,0,0,4
Matt Short,T20,0,0,0,4
Vishnu Vinod,T20,0,0,0,19
Aman Hakim Khan,T20,7,72,3,4
M Siddharth,T20,11,111,3,4
Anshul Kamboj,T20,41,513,15,13
Ashutosh Sharma,T20,0,0,0,32
