name,format,runs,balls,matches,innings
Shivam Shukla,T20,160,156,76,14
Ottneil Baartman,T20,95,100,64,17
Sushant Mishra,T20,58,77,34,9
Yash Thakur,T20,143,155,63,14
Aman Rao,T20,1147,778,48,48
Nishant Sindhu,T20,49,25,4,4
Ajay Mandal,T20,146,116,24,5
Noor Ahmad,T20,117,117,65,17
Arshdeep Singh,T20,297,331,164,39
Jack Edwards,T20,84,54,21,7
Allah Ghazanfar,T20,137,158,60,15
Nuwan Thushara,T20,3,8,9,1
Ryan Rickelton,T20,2963,1757,86,79
Smaran Ravichandra,T20,1767,1120,37,29
Sameer Rizvi,T20,1152,760,51,43
Salil Arora,T20,1489,854,86,46
Naman Dhir,T20,706,413,40,22
Hardik Pandya,T20,1587,858,95,53
Sikandar Raza,T20,331,209,34,18
Chama Milind,T20,95,66,14,8
Jasprit Bumrah,T20,131,103,71,11
Trent Boult,T20,91,82,67,19
Manav Suthar,T20,46,36,24,8
Matheesha Pathirana,T20,48,65,64,10
Adil Rashid,T20,65,71,27,6
Shimron Hetmyer,T20,334,197,31,14
Suyash Sharma,T20,155,149,100,22
Phil Salt,T20,1689,1124,52,47
Nicholas Pooran,T20,450,305,18,14
Marcus Stoinis,T20,526,383,31,25
Nathan Ellis,T20,266,177,40,19
Ajinkya Rahane,T20,1815,1128,88,66
Nitish Rana,T20,2218,1312,104,65
Jayant Yadav,T20,34,28,7,2
Virat Singh,T20,2954,1787,107,79
Tanmay Agarwal,T20,234,172,11,6
Vipraj Nigam,T20,210,139,68,15
Kuldeep Yadav,T20,182,177,104,23
Shubman Gill,T20,3668,2392,106,95
Rohit Sharma,T20,3130,1956,104,85
Jos Buttler,T20,2767,1753,97,84
Dewald Brevis,T20,1561,935,66,55
David Miller,T20,199,133,16,11
Rahul Tewatia,T20,171,100,21,15
Mitchell Santner,T20,306,201,52,19
Mohammed Siraj,T20,110,97,115,15
Prasidh Krishna,T20,179,129,65,19
Sai Kishore,T20,432,292,55,20
Jacob Duffy,T20,79,62,43,11
Himmat Singh,T20,1597,1014,73,55
Tom Banton,T20,49,37,3,3
Lockie Ferguson,T20,248,178,66,25
Rasikh Dar,T20,30,39,31,8
Akaashdeep,T20,6,13,3,3
Riyan Parag,T20,1242,790,87,47
Robin Minz,T20,8,10,1,1
Mitchell Owen,T20,200,126,9,6
Shahbaz Ahmed,T20,825,529,115,59
Deepak Chahar,T20,155,120,35,14
Gurnoor Singh Brar,T20,0,0,1,0
Eshan Malinga,T20,56,42,24,5
Yudhvir Singh Charak,T20,0,0,1,0
Axar Patel,T20,696,446,68,35
Mukhtar Hussain,T20,0,0,8,0
Prithvi Raj Yarra,T20,17,9,8,1
Venkatesh Iyer,T20,2004,1408,75,63
Ravi Singh,T20,129,94,8,8
Digvesh Singh Rathi,T20,21,22,22,3
Vyshak Vijaykumar,T20,0,0,2,0
Rashid Khan,T20,143,119,40,11
Adam Milne,T20,125,80,23,6
Harshit Rana,T20,134,119,62,7
Tim Seifert,T20,2267,1457,62,52
Ben Dwarshuis,T20,12,12,6,3
Sandeep Sharma,T20,23,24,16,4
Rajat Patidar,T20,1869,1238,101,82
Abhishek Porel,T20,142,96,4,3
Matt Short,T20,41,42,4,4
Vishnu Vinod,T20,423,366,19,14
Aman Hakim Khan,T20,96,52,4,3
M Siddharth,T20,10,9,4,1
Anshul Kamboj,T20,40,46,15,5
Ashutosh Sharma,T20,442,255,32,16
Rahul Chahar,T20,8,3,5,1
Josh Inglis,T20,976,625,39,37
