batter,bowler,balls,runs,wickets,dots,fours,sixes,dot_pct,strike_rate,average
Akeal Hosein,Varun Chakravarthy,11,13,0,1,0,0,9.09,118.18,13.0
Akeal Hosein,Vipraj Nigam,1,1,0,0,0,0,0.0,100.0,1.0
Akeal Hosein,Vishen Halambage,9,10,0,0,0,0,0.0,111.11,10.0
Akeal Hosein,Wanindu Hasaranga,16,20,1,3,1,0,18.75,125.0,20.0
Akeal Hosein,Will Jacks,9,9,0,1,0,0,11.11,100.0,9.0
Allah Ghazanfar,Atit Sheth,2,3,0,0,0,0,0.0,150.0,3.0
Allah Ghazanfar,Dian Forrester,6,12,1,1,2,0,16.67,200.0,12.0
Allah Ghazanfar,Kuldeep Yadav,2,0,0,2,0,0,100.0,0.0,0.0
Allah Ghazanfar,Prabath Jayasuriya,2,3,0,0,0,0,0.0,150.0,3.0
Allah Ghazanfar,Praveen Jayawickrama,4,6,0,0,0,0,0.0,150.0,6.0
Allah Ghazanfar,Shiran Fernando,2,2,0,0,0,0,0.0,100.0,2.0
Allah Ghazanfar,Vishen Halambage,1,0,1,1,0,0,100.0,0.0,0.0
Aman Rao,Adam Zampa,1,0,1,1,0,0,100.0,0.0,0.0
Aman Rao,Akeal Hosein,1,0,1,1,0,0,100.0,0.0,0.0
Aman Rao,Ashok Sharma,3,2,1,1,0,0,33.33,66.67,2.0
Aman Rao,Bhuvneshwar Kumar,8,18,0,1,1,1,12.5,225.0,18.0
Aman Rao,Dian Forrester,1,0,1,1,0,0,100.0,0.0,0.0
Aman Rao,Hardik Pandya,9,18,0,1,1,1,11.11,200.0,18.0
Aman Rao,Josh Hazlewood,2,4,1,1,1,0,50.0,200.0,4.0
Aman Rao,Mitchell Marsh,4,3,0,1,0,0,25.0,75.0,3.0
Aman Rao,Mohammed Siraj,1,0,1,1,0,0,100.0,0.0,0.0
Aman Rao,Mukhtar Hussain,3,3,1,2,0,0,66.67,100.0,3.0
Aman Rao,Scott Curie,6,7,0,2,1,0,33.33,116.67,7.0
Aman Rao,Seekkuge Prasanna,4,3,0,1,0,0,25.0,75.0,3.0
Aman Rao,Shivam Dube,10,16,0,3,0,1,30.0,160.0,16.0
Aman Rao,Tanay Thyagarajan,7,5,1,2,0,0,28.57,71.43,5.0
Aman Rao,Vishen Halambage,5,2,0,3,0,0,60.0,40.0,2.0
Amila Aponso,Akeal Hosein,4,5,0,1,0,0,25.0,125.0,5.0
Amila Aponso,Ashok Sharma,3,4,0,0,0,0,0.0,133.33,4.0
Amila Aponso,Harsh Dubey,5,6,0,1,0,0,20.0,120.0,6.0
Amila Aponso,Harshal Patel,1,0,1,1,0,0,100.0,0.0,0.0
Amila Aponso,Jacob Duffy,3,4,0,0,0,0,0.0,133.33,4.0
Amila Aponso,Jasprit Bumrah,1,1,0,0,0,0,0.0,100.0,1.0
Amila Aponso,Kuldeep Yadav,1,1,0,0,0,0,0.0,100.0,1.0
Amila Aponso,Lungi Ngidi,3,2,0,1,0,0,33.33,66.67,2.0
Amila Aponso,Prabath Jayasuriya,1,1,0,0,0,0,0.0,100.0,1.0
Amila Aponso,Sairaj Patil,2,2,1,1,0,0,50.0,100.0,2.0
Amila Aponso,Shivam Shukla,2,9,0,0,0,1,0.0,450.0,9.0
Amila Aponso,Washington Sundar,2,2,0,0,0,0,0.0,100.0,2.0
Aneurin Donald,Adam Zampa,10,32,2,3,5,2,30.0,320.0,16.0
Aneurin Donald,Aiden Markram,7,18,0,1,1,1,14.29,257.14,18.0
Aneurin Donald,Ajay Dev Goud,19,39,5,8,1,4,42.11,205.26,7.8
Aneurin Donald,Ajay Mandal,23,45,0,5,4,3,21.74,195.65,45.0
Aneurin Donald,Akash Deep,27,30,1,9,3,0,33.33,111.11,30.0
Aneurin Donald,Akash Vasisht,9,24,0,1,2,2,11.11,266.67,24.0
Aneurin Donald,Akeal Hosein,10,17,0,0,2,0,0.0,170.0,17.0
Aneurin Donald,Anshul Kamboj,11,22,1,2,1,2,18.18,200.0,22.0
Aneurin Donald,Anukul Roy,9,16,1,2,3,0,22.22,177.78,16.0
